Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,AI ML,Software Engineering,Business Analysis,Data Science,Role
Poor,Poor,Poor,Professional,Poor,No Experience,,Poor,Excellent,Poor,Poor,Cyber Security Specialist
,Intermediate,Excellent,Professional,Average,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Competent,Cyber Security Specialist
Excellent,Excellent,Poor,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Average,Intermediate,Intermediate,Professional,Intermediate,Competent,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Cyber Security Specialist
Intermediate,Intermediate,Average,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Average,Cyber Security Specialist
Beginner,Entry-level,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Novice,,Beginner,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,No Experience,,Not Interested,Not Interested,Not Interested,,Not Interested,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Intermediate,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Beginner,Entry-level,Beginner,Professional,Beginner,Poor,Beginner,,Beginner,Beginner,Beginner,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Not Interested,Poor,Poor,Professional,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Intermediate,,Intermediate,Professional,Intermediate,Competent,,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
No Experience,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Beginner,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Intermediate,Average,Intermediate,Expert,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Competent,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Cyber Security Specialist
Intermediate,Competent,Average,Professional,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Average,Average,,Professional,Average,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Expert,Not Interested,Not Interested,Not Interested,No Experience,No Experience,,Not Interested,Cyber Security Specialist
Beginner,Beginner,Beginner,,Beginner,Beginner,Beginner,Entry-level,,Beginner,Beginner,Cyber Security Specialist
Beginner,Poor,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,,Beginner,Beginner,Cyber Security Specialist
,Intermediate,Intermediate,Professional,Average,Intermediate,Intermediate,Intermediate,Average,Intermediate,Average,Cyber Security Specialist
Poor,Excellent,Excellent,Professional,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Average,Average,Average,Professional,Average,Average,Intermediate,Average,Average,Average,Not Interested,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,No Experience,No Experience,Poor,Poor,Poor,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Cyber Security Specialist
Intermediate,Novice,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
No Experience,Poor,Poor,Advanced,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Cyber Security Specialist
Average,Average,,Professional,Average,Average,Average,Intermediate,Intermediate,Average,Excellent,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,,Beginner,Not Interested,No Experience,Cyber Security Specialist
,Intermediate,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
Poor,Poor,No Experience,Professional,Poor,Excellent,Poor,Poor,Poor,,Poor,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Expert,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Beginner,,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Cyber Security Specialist
Average,Average,,Professional,Average,Average,Intermediate,Intermediate,Average,Average,Average,Cyber Security Specialist
,Average,Average,Professional,Average,,Average,Average,Average,Average,Average,Cyber Security Specialist
No Experience,Poor,Poor,,No Experience,Poor,,,Poor,Poor,Poor,Cyber Security Specialist
Poor,Poor,Poor,Professional,No Experience,Poor,Poor,No Experience,Poor,No Experience,No Experience,Cyber Security Specialist
Intermediate,Average,Intermediate,Professional,Intermediate,Intermediate,Competent,,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Poor,Poor,Poor,Advanced,No Experience,,No Experience,Poor,Poor,Poor,Poor,Cyber Security Specialist
Beginner,,Beginner,Professional,Beginner,Beginner,,Average,Beginner,Beginner,Beginner,Cyber Security Specialist
Poor,Poor,No Experience,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
,Average,Average,,,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
Poor,Poor,Poor,Professional,No Experience,Poor,Poor,Poor,Poor,Beginner,Poor,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,No Experience,Cyber Security Specialist
Beginner,Professional,Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Average,Average,Average,Professional,Average,Average,Excellent,Average,Average,Average,Average,Cyber Security Specialist
Intermediate,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Poor,Poor,Poor,Advanced,Poor,Poor,Poor,Poor,Poor,Poor,Beginner,Cyber Security Specialist
Beginner,Average,Beginner,,Novice,Entry-level,Beginner,Beginner,Entry-level,Beginner,Beginner,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,,Excellent,Excellent,Excellent,,Excellent,Excellent,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,No Experience,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,,Competent,Intermediate,Average,Not Interested,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,,Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
Average,Average,Average,Professional,Intermediate,,Average,Average,Beginner,Average,Average,Cyber Security Specialist
Beginner,,Beginner,Professional,Beginner,Beginner,Beginner,,Beginner,Beginner,Beginner,Cyber Security Specialist
Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,,Cyber Security Specialist
Average,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Average,Average,Average,Professional,,Average,Average,Intermediate,Average,Average,Average,Cyber Security Specialist
Entry-level,Beginner,Beginner,Professional,Excellent,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Excellent,Excellent,Excellent,Expert,Excellent,Excellent,Excellent,Novice,Excellent,Excellent,Excellent,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Intermediate,Beginner,Beginner,Beginner,Novice,Beginner,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Excellent,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Beginner,Poor,,Poor,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Beginner,Poor,Poor,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Cyber Security Specialist
No Experience,Not Interested,Not Interested,Professional,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Not Interested,Not Interested,,Professional,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
,Intermediate,Intermediate,Professional,Average,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Cyber Security Specialist
,Excellent,Excellent,Advanced,Excellent,Excellent,Beginner,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,,,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Poor,Poor,,Professional,Excellent,Poor,No Experience,Poor,Poor,Poor,Poor,Cyber Security Specialist
Average,Average,Intermediate,Professional,Average,Average,Intermediate,Average,Average,Average,Average,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Poor,Poor,Poor,Professional,Not Interested,Poor,Poor,,Poor,Poor,Poor,Cyber Security Specialist
Beginner,,Beginner,Professional,Entry-level,Beginner,Intermediate,Entry-level,Beginner,Beginner,Beginner,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,,Excellent,Not Interested,Cyber Security Specialist
Beginner,Entry-level,Beginner,Professional,Beginner,Beginner,Beginner,Excellent,,Beginner,,Cyber Security Specialist
Average,Average,Average,Professional,,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Not Interested,Poor,Poor,Poor,Poor,Cyber Security Specialist
No Experience,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Intermediate,Cyber Security Specialist
Intermediate,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Cyber Security Specialist
Beginner,,Novice,Professional,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Cyber Security Specialist
