Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Data Science,Troubleshooting skills,Role
Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Customer Service Executive
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Information Security Specialist
,No Experience,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,None,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
,Entry-level,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Networking Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Information Security Specialist
Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,None,Information Security Specialist
Beginner,Beginner,Novice,Not Interested,Beginner,Beginner,Beginner,Beginner,Beginner,Advanced,Beginner,Beginner,,Beginner,Beginner,Technical Writer
Excellent,Excellent,Excellent,,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Networking Engineer
Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Graphics Designer
,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,API Specialist
Average,Expert,Average,Average,Average,Average,Excellent,Intermediate,Average,Average,Average,Average,Average,Average,Average,Hardware Engineer
Beginner,Beginner,,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Customer Service Executive
Intermediate,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Hardware Engineer
Beginner,Beginner,,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Entry-level,Professional,Beginner,None,Beginner,Software tester
Poor,Poor,Poor,No Experience,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Beginner,Poor,No Experience,Networking Engineer
,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Professional,Average,Intermediate,Business Analyst
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Not Interested,Beginner,Beginner,Beginner,API Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Professional,Not Interested,N/A,None,No Experience,,Technical Writer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,,Intermediate,Intermediate,Business Analyst
No Experience,Poor,Poor,No Experience,No Experience,Poor,Poor,,Excellent,Professional,,Poor,Poor,Poor,Poor,Technical Writer
Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Expert,Helpdesk Engineer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Not Interested,Intermediate,Intermediate,Intermediate,,Intermediate,Average,Intermediate,Graphics Designer
Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Networking Engineer
No Experience,Beginner,Poor,Professional,Poor,Poor,,Poor,Poor,,No Experience,Poor,Poor,No Experience,Poor,Cyber Security Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Customer Service Executive
Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Beginner,Beginner,Beginner,Professional,Database Administrator
Poor,Poor,Poor,Poor,,Poor,Not Interested,No Experience,No Experience,Poor,Poor,Poor,Poor,Poor,Professional,Helpdesk Engineer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Poor,Excellent,Software Developer
Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Beginner,Poor,No Experience,Poor,Poor,API Specialist
Professional,Competent,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Database Administrator
Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Helpdesk Engineer
Average,Average,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Advanced,Average,Data Scientist
Intermediate,Average,Average,,Average,Average,Average,Average,Intermediate,Intermediate,Average,Average,Average,Professional,Excellent,Data Scientist
Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,N/A,Not Interested,Intermediate,Not Interested,Database Administrator
Beginner,,Beginner,Beginner,Entry-level,,Beginner,Novice,Entry-level,Beginner,Beginner,Beginner,Beginner,Expert,Beginner,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,AI ML Specialist
Average,Intermediate,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Intermediate,Intermediate,Information Security Specialist
Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,AI ML Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Graphics Designer
Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Average,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Networking Engineer
Intermediate,Intermediate,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Professional,Average,,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,No Experience,Intermediate,Technical Writer
Poor,Poor,Poor,Poor,Poor,Poor,Not Interested,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Graphics Designer
Beginner,Novice,Beginner,Beginner,Beginner,Professional,Entry-level,Novice,Beginner,Beginner,,Novice,Beginner,Beginner,Beginner,Software Developer
Average,Average,Average,Average,Average,Average,,Average,Average,Beginner,,Average,Professional,Average,Average,Business Analyst
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,,Beginner,Beginner,Beginner,Novice,Not Interested,Beginner,Professional,Helpdesk Engineer
Excellent,,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Graphics Designer
Professional,Poor,Poor,Poor,Poor,Poor,Poor,Not Interested,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Database Administrator
Average,Average,,Average,Average,Average,Average,Entry-level,Average,Average,Average,Professional,Average,Average,Average,Software tester
Poor,Poor,Poor,,No Experience,Average,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Information Security Specialist
Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Data Scientist
Not Interested,,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Hardware Engineer
No Experience,Poor,Average,Poor,Poor,Poor,Poor,Poor,Poor,,Poor,Poor,Poor,Poor,Professional,Helpdesk Engineer
Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,,Professional,Poor,Poor,No Experience,Poor,AI ML Specialist
Average,Average,Average,Average,Intermediate,Average,Intermediate,Average,Average,Average,Average,Average,Average,Average,Average,Graphics Designer
Not Interested,Not Interested,None,,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Technical Writer
Beginner,Entry-level,Beginner,Novice,Beginner,Not Interested,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,,Professional,Beginner,Data Scientist
Beginner,Not Interested,Beginner,Beginner,Entry-level,Entry-level,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Technical Writer
Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Not Interested,Average,Average,Professional,Average,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Expert,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Information Security Specialist
Professional,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Database Administrator
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Poor,Not Interested,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Information Security Specialist
Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,None,Poor,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,AI ML Specialist
Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Entry-level,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Technical Writer
Entry-level,Beginner,Beginner,Beginner,Professional,Beginner,Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Networking Engineer
Poor,No Experience,Poor,Poor,Not Interested,Poor,Poor,No Experience,Professional,Poor,Poor,Poor,Poor,No Experience,Poor,Information Security Specialist
Excellent,,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,API Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Poor,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Competent,Intermediate,Competent,Intermediate,Intermediate,Information Security Specialist
Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Intermediate,Poor,,Poor,Poor,,Poor,AI ML Specialist
Poor,Poor,Poor,Poor,,Poor,Poor,Poor,Poor,Poor,Poor,Beginner,Poor,Poor,Expert,Helpdesk Engineer
Excellent,,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Average,Excellent,Business Analyst
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Customer Service Executive
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Average,Not Interested,N/A,Not Interested,Technical Writer
Poor,Excellent,Poor,,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Cyber Security Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,,Software tester
Beginner,Beginner,Beginner,Beginner,Not Interested,Beginner,,,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Entry-level,Business Analyst
Beginner,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,API Specialist
Beginner,Beginner,,Beginner,Beginner,,Beginner,Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Beginner,,Software Developer
Intermediate,Intermediate,Intermediate,Professional,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Cyber Security Specialist
Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Novice,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Graphics Designer
Poor,Poor,Poor,Professional,Poor,Poor,,Poor,No Experience,Poor,,No Experience,Poor,Intermediate,Poor,Cyber Security Specialist
,Poor,Beginner,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,N/A,Not Interested,Professional,None,Not Interested,Not Interested,Poor,AI ML Specialist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Customer Service Executive
Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Not Interested,Average,Average,Average,Average,Cyber Security Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Software tester
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,API Specialist
Beginner,Beginner,Beginner,Competent,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Professional,Beginner,Data Scientist
Average,Intermediate,Intermediate,Average,Average,Average,,Average,Average,Intermediate,Intermediate,Professional,Average,Average,Average,Software tester
Competent,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Networking Engineer
